UserID;Age;Gender;Race;Province;Channel2;record_date;record_time;Hour_SA;Day_Name;Time_bucket;Month_name;Duration_Seconds;Age_group
777946;43;female;black;Gauteng;Africa Magic;2016/01/06;20:21:00;20;Wednesday;Evening;January;443;36-50
777946;43;female;black;Gauteng;Africa Magic;2016/02/04;00:26:00;0;Thursday;Late Night;February;1949;36-50
892173;25;male;indian_asian;Gauteng;Boomerang;2016/03/22;20:15:00;20;Tuesday;Evening;March;945;18-25
892173;25;male;indian_asian;Gauteng;Trace TV;2016/03/23;01:45:00;1;Wednesday;Late Night;March;528;18-25
892173;25;male;indian_asian;Gauteng;Cartoon Network;2016/03/23;19:14:00;19;Wednesday;Evening;March;693;18-25
796812;42;male;coloured;Western Cape;Channel O;2016/01/16;21:59:00;21;Saturday;Evening;January;108;36-50
763930;43;male;coloured;Western Cape;E! Entertainment;2016/02/14;11:15:00;11;Sunday;Late Morning;February;0;36-50
763930;43;male;coloured;Western Cape;Channel O;2016/03/28;20:06:00;20;Monday;Evening;March;0;36-50
23925;43;male;black;Kwazulu Natal;DStv Events 1;2016/01/02;09:18:00;9;Saturday;Early Morning;January;95;36-50
893565;25;male;black;Eastern Cape;Boomerang;2016/03/23;09:19:00;9;Wednesday;Early Morning;March;61;18-25
893565;25;male;black;Eastern Cape;Channel O;2016/03/23;10:27:00;10;Wednesday;Late Morning;March;831;18-25
893565;25;male;black;Eastern Cape;Boomerang;2016/03/23;21:07:00;21;Wednesday;Evening;March;1497;18-25
893565;25;male;black;Eastern Cape;Africa Magic;2016/03/19;14:10:00;14;Saturday;Early Afternoon;March;166;18-25
906667;35;male;black;Gauteng;Boomerang;2016/03/24;21:47:00;21;Thursday;Evening;March;107;26-35
893566;25;male;black;Western Cape;Africa Magic;2016/03/05;07:46:00;7;Saturday;Early Morning;March;52;18-25
893568;23;female;black;Eastern Cape;Cartoon Network;2016/03/23;00:07:00;0;Wednesday;Late Night;March;8;18-25
772855;30;male;black;Kwazulu Natal;Supersport Live Events;2016/03/24;15:37:00;15;Thursday;Early Afternoon;March;690;26-35
772855;30;male;black;Kwazulu Natal;Africa Magic;2016/02/02;22:14:00;22;Tuesday;Evening;February;70;26-35
772855;30;male;black;Kwazulu Natal;Supersport Live Events;2016/02/02;23:10:00;23;Tuesday;Late Night;February;712;26-35
772855;30;male;black;Kwazulu Natal;SuperSport Blitz;2016/02/02;23:15:00;23;Tuesday;Late Night;February;450;26-35
860670;19;male;black;Free State;Channel O;2016/03/08;05:20:00;5;Tuesday;Late Night;March;1950;18-25
860672;26;male;white;North West;Supersport Live Events;2016/03/05;13:35:00;13;Saturday;Early Afternoon;March;258;26-35
851942;29;male;black;Gauteng;Channel O;2016/03/04;06:27:00;6;Friday;Early Morning;March;2787;26-35
923646;21;male;black;Mpumalanga;Cartoon Network;2016/03/28;10:05:00;10;Monday;Late Morning;March;0;18-25
923646;21;male;black;Mpumalanga;Cartoon Network;2016/03/27;20:51:00;20;Sunday;Evening;March;0;18-25
893573;21;male;white;Western Cape;Cartoon Network;2016/03/26;20:31:00;20;Saturday;Evening;March;32;18-25
2204671;41;male;coloured;Western Cape;Trace TV;2016/02/05;11:41:00;11;Friday;Late Morning;February;222;36-50
2204671;41;male;coloured;Western Cape;Boomerang;2016/02/11;21:22:00;21;Thursday;Evening;February;253;36-50
2204671;41;male;coloured;Western Cape;ICC Cricket World Cup 2011;2016/02/24;11:19:00;11;Wednesday;Late Morning;February;242;36-50
2204671;41;male;coloured;Western Cape;CNN;2016/01/03;14:41:00;14;Sunday;Early Afternoon;January;1203;36-50
2204671;41;male;coloured;Western Cape;M-Net;2016/01/23;15:53:00;15;Saturday;Early Afternoon;January;403;36-50
2405263;30;male;black;Gauteng;Trace TV;2016/01/03;19:18:00;19;Sunday;Evening;January;1179;26-35
2405263;30;male;black;Gauteng;Africa Magic;2016/01/04;18:42:00;18;Monday;Late Afternoon;January;143;26-35
2405263;30;male;black;Gauteng;Channel O;2016/01/01;13:43:00;13;Friday;Early Afternoon;January;51;26-35
2405263;30;male;black;Gauteng;Africa Magic;2016/01/01;16:32:00;16;Friday;Late Afternoon;January;197;26-35
2405263;30;male;black;Gauteng;Channel O;2016/01/03;19:10:00;19;Sunday;Evening;January;93;26-35
772861;27;male;black;Gauteng;ICC Cricket World Cup 2011;2016/02/21;15:16:00;15;Sunday;Early Afternoon;February;4180;26-35
772861;27;male;black;Gauteng;CNN;2016/02/16;13:34:00;13;Tuesday;Early Afternoon;February;231;26-35
772861;27;male;black;Gauteng;CNN;2016/01/29;16:58:00;16;Friday;Late Afternoon;January;5;26-35
777952;32;male;black;Gauteng;SuperSport Blitz;2016/01/23;19:35:00;19;Saturday;Evening;January;1232;26-35
821692;28;male;coloured;Eastern Cape;Supersport Live Events;2016/03/05;17:40:00;17;Saturday;Late Afternoon;March;72;26-35
821692;28;male;coloured;Eastern Cape;Supersport Live Events;2016/02/27;15:05:00;15;Saturday;Early Afternoon;February;0;26-35
2422135;26;female;indian_asian;North West;Supersport Live Events;2016/03/27;17:54:00;17;Sunday;Late Afternoon;March;1240;26-35
906690;26;male;indian_asian;Kwazulu Natal;CNN;2016/03/20;23:24:00;23;Sunday;Late Night;March;0;26-35
810063;28;male;coloured;Eastern Cape;Supersport Live Events;2016/02/05;08:53:00;8;Friday;Early Morning;February;1838;26-35
810063;28;male;coloured;Eastern Cape;Boomerang;2016/02/26;00:57:00;0;Friday;Late Night;February;9;26-35
810063;28;male;coloured;Eastern Cape;Trace TV;2016/02/11;17:00:00;17;Thursday;Late Afternoon;February;255;26-35
810063;28;male;coloured;Eastern Cape;Trace TV;2016/02/25;19:25:00;19;Thursday;Evening;February;285;26-35
810063;28;male;coloured;Eastern Cape;Channel O;2016/02/10;10:10:00;10;Wednesday;Late Morning;February;813;26-35
810063;28;male;coloured;Eastern Cape;Channel O;2016/02/10;17:50:00;17;Wednesday;Late Afternoon;February;63;26-35
810063;28;male;coloured;Eastern Cape;Channel O;2016/02/10;18:02:00;18;Wednesday;Late Afternoon;February;870;26-35
810063;28;male;coloured;Eastern Cape;Supersport Live Events;2016/02/06;07:57:00;7;Saturday;Early Morning;February;22;26-35
810063;28;male;coloured;Eastern Cape;Trace TV;2016/02/27;11:17:00;11;Saturday;Late Morning;February;54;26-35
810063;28;male;coloured;Eastern Cape;Boomerang;2016/02/12;07:41:00;7;Friday;Early Morning;February;12;26-35
